,0,1(SAS),2(LHB),3(D),4(HH),5(SUB),6(SUP),7(GL),8(GC),9(SCB),10(INF)
0,30730539,100415,26753,296940,716649,59484,42879,11567,67222,1656,34103
1,78165,3125207,0,137094,0,0,0,0,0,0,0
2,12925,0,89993,836,31575,0,65,0,0,0,0
3,305689,72783,2720,5593170,10289,13147,8361,83,108,2825,49287
4,479529,0,7168,6917,3528885,319,351,0,3,0,29
5,85281,0,870,8253,3056,238906,147420,0,0,3821,1
6,36245,0,181,2941,602,152302,53578,0,0,698,0
7,11903,0,0,0,50,0,0,46773,1830,0,5657
8,31680,0,0,27,0,0,0,2867,289538,0,1687
9,5947,0,0,8786,14637,20231,3053,0,0,668,0
10,28963,0,0,16878,1166,0,0,3509,13491,0,1083126
,,,,,,,,,,,
,"2,4分开",,,,,,,,,,
